Layers,Nodes,Gpu_Time
11,210,0.004830
12,210,0.005270
13,210,0.005738
14,210,0.006193
15,210,0.006625
16,210,0.007081
2,220,0.000809
3,220,0.001277
4,220,0.001747
5,220,0.002188
6,220,0.002664
7,220,0.003144
8,220,0.003598
9,220,0.004090
10,220,0.004563
11,220,0.004991
12,220,0.005607
13,220,0.005924
14,220,0.006392
15,220,0.006932
16,220,0.007335
2,230,0.000832
3,230,0.001306
4,230,0.001792
5,230,0.002320
6,230,0.002775
7,230,0.003254
8,230,0.003756
9,230,0.004254
10,230,0.004737
11,230,0.005184
12,230,0.005681
13,230,0.006179
14,230,0.006674
15,230,0.007195
16,230,0.007639
2,240,0.000867
3,240,0.001376
4,240,0.001891
5,240,0.002394
6,240,0.002898
7,240,0.003416
8,240,0.003947
9,240,0.004524
10,240,0.004955
11,240,0.005483
12,240,0.005970
13,240,0.006946
14,240,0.007598
15,240,0.008180
16,240,0.008704
2,250,0.001069
3,250,0.001710
4,250,0.002368
5,250,0.003003
6,250,0.003660
7,250,0.004279
8,250,0.004952
9,250,0.005604
10,250,0.006262
11,250,0.006886
12,250,0.007535
13,250,0.008155
14,250,0.009016
15,250,0.009493
16,250,0.010095
2,260,0.001110
3,260,0.001784
4,260,0.002412
5,260,0.003148
6,260,0.003741
7,260,0.004407
8,260,0.005078
9,260,0.005886
10,260,0.006556
11,260,0.007209
12,260,0.007893
13,260,0.008563
14,260,0.009287
15,260,0.009918
16,260,0.010601
2,270,0.001148
3,270,0.001857
4,270,0.002557
5,270,0.003253
6,270,0.004004
7,270,0.004667
8,270,0.005376
9,270,0.006159
10,270,0.006785
11,270,0.007520
12,270,0.008264
13,270,0.008890
14,270,0.009832
15,270,0.010534
16,270,0.011254
2,280,0.001231
3,280,0.002004
4,280,0.002743
5,280,0.003590
6,280,0.004288
7,280,0.005062
8,280,0.005759
9,280,0.006525
10,280,0.007257
11,280,0.008260
12,280,0.008775
13,280,0.009543
14,280,0.010272
15,280,0.011029
16,280,0.011799
2,290,0.001375
3,290,0.002238
4,290,0.003111
5,290,0.003964
6,290,0.004834
7,290,0.005698
8,290,0.006665
9,290,0.007433
10,290,0.008280
11,290,0.009142
12,290,0.010041
13,290,0.011082
14,290,0.012010
15,290,0.012883
16,290,0.013769
2,300,0.001440
3,300,0.002362
4,300,0.003263
5,300,0.004180
6,300,0.005092
7,300,0.006004
8,300,0.007028
9,300,0.007863
10,300,0.008725
11,300,0.009646
12,300,0.010571
13,300,0.011471
14,300,0.012393
15,300,0.013319
16,300,0.014191
2,310,0.001483
3,310,0.002434
4,310,0.003373
5,310,0.004332
6,310,0.005379
7,310,0.006208
8,310,0.007162
9,310,0.008103
10,310,0.009258
11,310,0.010225
12,310,0.011184
13,310,0.012142
14,310,0.013118
15,310,0.014080
16,310,0.015032
2,320,0.001575
3,320,0.002611
4,320,0.003747
5,320,0.004642
6,320,0.005754
7,320,0.006632
8,320,0.007765
9,320,0.008618
10,320,0.009632
11,320,0.010620
12,320,0.011629
13,320,0.012628
14,320,0.013793
15,320,0.014640
16,320,0.015635
2,330,0.001774
3,330,0.002911
4,330,0.004059
5,330,0.005207
6,330,0.006346
7,330,0.007558
8,330,0.008617
9,330,0.009756
10,330,0.010941
11,330,0.012031
12,330,0.013178
13,330,0.014444
14,330,0.015457
15,330,0.016751
16,330,0.017740
2,340,0.001826
3,340,0.003000
4,340,0.004177
5,340,0.005370
6,340,0.006545
7,340,0.007722
8,340,0.008900
9,340,0.010081
10,340,0.011267
11,340,0.012432
12,340,0.013605
13,340,0.014798
14,340,0.015955
15,340,0.017130
16,340,0.018322
2,350,0.001867
3,350,0.003088
4,350,0.004304
5,350,0.005506
6,350,0.006710
7,350,0.007926
8,350,0.009162
9,350,0.010346
10,350,0.011558
11,350,0.012807
12,350,0.013971
13,350,0.015213
14,350,0.016409
15,350,0.017647
16,350,0.018816
2,360,0.001942
3,360,0.003180
4,360,0.004435
5,360,0.005719
6,360,0.006961
7,360,0.008197
8,360,0.009440
9,360,0.010699
10,360,0.011957
11,360,0.013205
12,360,0.014448
13,360,0.015848
14,360,0.016941
15,360,0.018214
16,360,0.019444
2,370,0.002147
3,370,0.003551
4,370,0.004966
5,370,0.006380
6,370,0.007809
7,370,0.009187
8,370,0.010601
9,370,0.011994
10,370,0.013403
11,370,0.014810
12,370,0.016217
13,370,0.017643
14,370,0.019122
15,370,0.020446
16,370,0.021871
2,380,0.002201
3,380,0.003655
4,380,0.005125
5,380,0.006569
6,380,0.008022
7,380,0.009464
8,380,0.010951
9,380,0.012337
10,380,0.013173
11,380,0.014521
12,380,0.016048
13,380,0.017354
14,380,0.018641
15,380,0.020049
16,380,0.021428
2,390,0.002149
3,390,0.003556
4,390,0.004986
5,390,0.006430
6,390,0.007798
7,390,0.009219
8,390,0.010634
9,390,0.012068
10,390,0.013459
11,390,0.014911
12,390,0.016271
13,390,0.017727
14,390,0.019140
15,390,0.020535
16,390,0.022074
2,400,0.002214
3,400,0.003764
4,400,0.005203
5,400,0.006774
6,400,0.008097
7,400,0.009536
8,400,0.011003
9,400,0.012478
10,400,0.013959
11,400,0.015391
12,400,0.016849
13,400,0.018321
14,400,0.019760
15,400,0.021222
16,400,0.022751
2,410,0.002435
3,410,0.004041
4,410,0.005670
5,410,0.007272
6,410,0.008886
7,410,0.010503
8,410,0.012138
9,410,0.013947
10,410,0.015371
11,410,0.017461
12,410,0.019027
13,410,0.020700
14,410,0.022828
15,410,0.024676
16,410,0.026324
2,420,0.002606
3,420,0.004351
4,420,0.005696
5,420,0.007305
6,420,0.008919
7,420,0.010555
8,420,0.012289
9,420,0.013789
10,420,0.015447
11,420,0.017043
12,420,0.018656
